index,disease_name,supplement name,supplement image,buy link
10,Corn___Northern_Leaf_Blight,QUIT (Carbendazim 12% + Mancozeb 63% WP) Protective And Curative Fungicide,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRO2FK6IsSuUuQQ0ehzVKIsEdgjCGbMq2nBmOsUp38ajgm8dPwR9MvTBL9_PFRZVRkbtiAzdwP8lwGlrR1c7axKHE6VALk6l3X4Snu9HWFCKpVCFYly65Bs&usqp=CAE,https://agribegri.com/products/buy-carbendazim-12--mancozeb-63-online--buy-fungicide-online.php
11,Corn___healthy,Biomass Lab Sampoorn Fasal Ahaar (Multipurpose Organic Fertilizer & Plant Food),https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRC_8hhC12Kbw0e0w-afXO9kzWJHG1LchaIa66xnIpU6OmZLnY3OzCrRd2ilBS9bSjI9jQI0hJ6Z20SUk7nf7uCukqv77aTun147K5g2Ec&usqp=CAE,https://www.flipkart.com/biomass-lab-sampoorn-fasal-ahaar-multipurpose-organic-fertilizer-plant-food-1-kg-fertilizer-manure/p/itm69c56f2e19c6a?pid=SMNFM3999GGTXFJZ&lid=LSTSMNFM3999GGTXFJZPRQ8CT&marketplace=FLIPKART&cmpid=content_soil-manure_8965229628_gmc
12,Grape___Black_rot,Southern Ag Captan 50% WP Fungicide,https://images-na.ssl-images-amazon.com/images/I/51s1IbUD-qL.jpg,https://www.cart2india.com/beneficial-insects/southern-ag-captan-50-wp-fungicide-8-oz/00000000004336428163
13,Grape___Esca_(Black_Measles),ALIETTE FUNGICIDE,https://agribegri.com/admin/images/prod_image/f166af73cf31182d28c9fbef9d6c3df2-08-28-23-15-12-49.jpg ,https://agribegri.com/products/bayer-aliette-fosetyl-al-80-wp-fungicides.php 
14,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),"Tebulur Tebuconazole 10% + Sulphur 65% WG , Advance Broad Spectrum Premix Fungicides",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQPzI0SnMtb60x2D1gGkRHsvD1j7NRl8Y7pjuIyuyrTxdpvUOpci7NxHWxt4Gfn3ETrCrgWKvGPH-jmbboE2vi4b4MiTq3kZKMdHFUSctUmXcH9ZRed0j4-&usqp=CAE,https://agribegri.com/products/buy-tebuconazole-10--sulphur-65-wg-online--online-agro-store.php
15,Grape___healthy,Sansar Green Grapes Fertilizer Fertilizer,https://rukminim1.flixcart.com/image/416/416/k51cpe80/soil-manure/4/m/h/400-grapes-fertilizer-sansar-green-original-imafntdujntbdner.jpeg?q=70,"https://www.flipkart.com/sansar-green-grapes-fertilizer/p/itm90f06136b50c7?pid=SMNFNT8F7FCQJ4MH&lid=LSTSMNFNT8F7FCQJ4MHMXEELG&marketplace=FLIPKART&cmpid=content_soil-manure_730597647_g_8965229628_gmc_pla&tgi=sem,1,G,11214002,g,search,,476044024748,,,,c,,,,,,,&ef_id=Cj0KCQjwsLWDBhCmARIsAPSL3_0d3lBg14nXBbhJeTP7z5mqzpyHXmv4c7cL9mW4MqCBlnskpoMB8C0aArWREALw_wcB:G:s&s_kwcid=AL!739!3!476044024748!!!g!293946777986!&gclsrc=aw.ds"
16,Orange___Haunglongbing_(Citrus_greening),Green Dews CITRUS PLANT FOOD Fertilizer ,https://rukminim1.flixcart.com/image/416/416/ju79hu80/soil-manure/x/m/b/400-citrus-plant-food-green-dews-original-imaffbxhn3rz8k5p.jpeg?q=70,https://www.flipkart.com/green-dews-citrus-plant-food-fertilizer/p/itmffde2heg7hkq2?pid=SMNFFBY9Z8DVTXMB&lid=LSTSMNFFBY9Z8DVTXMBEL4PDT&marketplace=FLIPKART&cmpid=content_soil-manure_8965229628_gmc
17,Peach___Bacterial_spot,SCORE FUNGICIDE,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQ5shxq773t5Lmux-hhShKezjR64Af41W6NdhsDMXI-dNSAVvfY45rb5iHxMaqZXBdtFnfuiIcN8PdQ06YcYZi3gq6Uow-j&usqp=CAE,https://www.bighaat.com/products/score-fungicide?variant=27949138149399&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
18,Peach___healthy,Jeevamrut (Plant Growth Tonic),https://agribegri.com/admin/images/prod_image/7612615ba9db75404b743a62eca1d1b0-04-12-19-13-17-17.jpeg ,https://agribegri.com/products/ghana.php 
19,"Pepper,_bell___Bacterial_spot",Systemic Fungicide (Domark) Tetraconazole 3.8% w/w (4% w/v) EW,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQNEP3gEC77FdOUBy_xUgIbq7UU_N2TX1zRwCFvtl02Kz5-a6X2ZhXPAhf9y0kLieGR2VTVarUnZP_JMs0kFtEw-LqJwVSMHsjGP4Bz9scPPIB6NCLtcD7JNA&usqp=CAE,https://agribegri.com/products/buy-systemic-fungicide-online--tetraconazole-38--domark-.php
20,"Pepper,_bell___healthy",Casa De Amor Organic Potash Fertilizer,https://static1.industrybuying.com/products/agriculture-garden-landscaping/fertilizer-and-pest-control/fertilizer/AGR.FER.36655052_1668310016849.webp ,https://www.industrybuying.com/fertilizer-casa-de-amor-AGR.FER.36655052/?utm_source=Google&utm_medium=PLA&utm_campaign=PLAPMAX_Agriculture_Location_MH_KA&gad_source=4&gclid=Cj0KCQjw-pyqBhDmARIsAKd9XIMooGi1oibKcDBbSbhl0Zj1jT8f9ry1-eBWxF6uGWq_fzGFZRUXeyoaAngKEALw_wcB 
21,Potato___Early_blight,Parin Herbal Fungicides (With Turmeric Extract),https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQzAaBb9Tc2B0iXiYc08qD2WM4vjAz4TZHI6qwj-D7nck2bbtYQUnnODSqPSK_Vz5NR1Am8aRbc2Rd0anzqgVKWq-0OlZ6wkjE-3x0jXihQ9F0kO8nJu7FT&usqp=CAE,https://agribegri.com/products/buy-herbal-fungicide-online-india--buy-pesticides-online.php
22,Potato___Late_blight,Syngenta Ridomil gold Fungicide ,https://krushikendra.com/image/cache/catalog/syngenta/RIDOMIL-GOLD-800x800.jpg,https://krushikendra.com/Buy-Syngenta-Ridomil-gold-Fungicide-250%20gram
23,Potato___healthy,Saosis Fertilizer for potato Fertilizer,https://rukminim1.flixcart.com/image/416/416/kfvfwy80/soil-manure/6/p/g/30-fertilizer-for-potato-saosis-original-imafw8b3sgcyrhh4.jpeg?q=70,"https://www.flipkart.com/saosis-fertilizer-potato/p/itmc40dfbfcd49f7?pid=SMNFW8B3DTY2V6PG&lid=LSTSMNFW8B3DTY2V6PGHC2BXS&marketplace=FLIPKART&cmpid=content_soil-manure_730597647_g_8965229628_gmc_pla&tgi=sem,1,G,11214002,g,search,,476044024748,,,,c,,,,,,,&ef_id=Cj0KCQjwsLWDBhCmARIsAPSL3_3TcmjyWFqJEZtCD0SQiDb9UFyESkiYtgU35W5Qs_KnTCkDS_Px2Y4aArmBEALw_wcB:G:s&s_kwcid=AL!739!3!476044024748!!!g!293946777986!&gclsrc=aw.ds"
24,Raspberry___healthy,"Karen's Naturals, Organic Just Raspberries",https://s3.images-iherb.com/jte/jte29001/v/6.jpg,https://in.iherb.com/pr/Karen-s-Naturals-Organic-Just-Raspberries-1-5-oz-42-g/37730?gclsrc=ds
25,Soybean___healthy,Max Crop Liquid Fertilizer,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRyFZFHGj1Wi0fabSOYVadCnsg8UdvhpKOHI6gxmItDLmz7RdC67HFFNyU7PYyD6SnlgXOs31yW_8-YWJKOeal7K4UQ3lAIxef-4x350ac&usqp=CAE,https://agribegri.com/products/max-crop-1-litre.php
26,Squash___Powdery_mildew,No powdery mildew 1 quart,https://cdn.shopify.com/s/files/1/1667/9587/products/415B_2BfINScL.jpg?v=1536320654,https://kiron.co.in/products/B0068WMLE2
27,Strawberry___Leaf_scorch,Greatindos Premium Quality All in 1 Organic Fungicide,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSV3dLQAuhGWWsZSX3Ray15J_uSeFgSo7oLE0G2BxPFSwVNnOUY7VsBbLzDbw_mzUw3ZFLaF4kPWPyzatefP2bnSZwEbwrYnGGYgEl8rS6XWmwRnloOWnwy&usqp=CAE,https://agribegri.com/products/buy-organic-fungicide-online--organic-fungicide-with-best-rate-.php
28,Strawberry___healthy,SWISS GREEN ORGANIC PLANT GROWTH PROMOTER STRAWBERRY Fertilizer,https://rukminim1.flixcart.com/image/416/416/k2urhjk0/soil-manure/q/y/d/500-organic-plant-growth-promoter-strawberry-swiss-green-original-imafm3vx8mzyhxzg.jpeg?q=70,https://www.flipkart.com/swiss-green-organic-plant-growth-promoter-strawberry-fertilizer-manure/p/itmcaf7955b802fa?pid=SMNFM3TT2RNZEQYD&lid=LSTSMNFM3TT2RNZEQYDIGMSRD&marketplace=FLIPKART&cmpid=content_soil-manure_8965229628_gmc
29,Tomato___Bacterial_spot,CUREAL Best Fungicide & Bactericide,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRKHQh4EwbE0ksZ_RTOhsGtvTO68zllR9djrYvUrZ-DO6FYo2kYpmyFL8UgaK6aiHJuUWbkax_uhcxMpGfwSHa2CKWqaIZnFp1vIRbGkrZhtGv-Zq-72y61&usqp=CAE,https://agribegri.com/products/cureal---best-fungicide--bactericide-zinc-based-250-ml.php
30,Tomato___Early_blight,NATIVO FUNGICIDE,https://agribegri.com/admin/images/prod_image/5f9b1de79d6b5428ed2ecb61e52e9056-06-23-22-15-29-34.JPG ,https://agribegri.com/products/bayer-nativo.php 
31,Tomato___Late_blight,ACROBAT FUNGICIDE,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRpQmIM9QZkFI43PPlHVFaSlGdrdMP8LFHXAo9b_OGOQCi3R6G-SsqnCXFR4CU9bVAcyuBGTrQRAkRrU9fm-1TGeXg9PrsB&usqp=CAE,https://www.bighaat.com/products/acrobat-fungicide?variant=31177935519767&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
32,Tomato___Leaf_Mold,Virus Special (Set of Immuno 1 ltr + Enviro 1 ltr),https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQfgH6lswqhV2hUhqZwEfgQBU1eUP1GCvETxg_a3JFOERS2tc80k8gNMbHM_XxReblck1T7tR95X8Qojdj1k0yAyvhmCZHvkFWaT_L-a8ofElEXerVJqvsF&usqp=CAE,https://agribegri.com/products/virus-special-enviroimmuno-1-litre.php
33,Tomato___Septoria_leaf_spot,Roko Fungicide,https://agribegri.com/admin/images/prod_image/ca5de2f6a3f84c10d7ffbff0d2f7dafc-04-16-21-13-37-30.jpg ,https://agribegri.com/products/buy-biostadt-roko-thiophanate-methyl-70-wp.php 
34,Tomato___Spider_mites Two-spotted_spider_mite,OMITE INSECTICIDE,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQxe-M4vyRx94TlpTOw6tlzvagjvaTRCWRLoKd58JML7T3rSV8GJK67YjxIiR-PHL02DL2CHsHPLzExBf6uq7BqxcLPxgmh9w&usqp=CAE,https://www.bighaat.com/products/omite-insecticide?variant=31276117196823&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
35,Tomato___Target_Spot,Propi Propineb 70% WP Fungicide for Plants Diesese Control Pesticide,https://rukminim1.flixcart.com/image/416/416/k3xcdjk0/soil-manure/y/f/j/100-propineb-70-wp-fungicide-for-plants-diesese-control-propi-original-imafmxg3jghhdyt6.jpeg?q=70,"https://www.flipkart.com/propi-propineb-70-wp-fungicide-plants-diesese-control-pesticide/p/itm9db96656402f8?pid=SMNFMX8FJJHZAYFJ&lid=LSTSMNFMX8FJJHZAYFJDGFGXW&marketplace=FLIPKART&cmpid=content_soil-manure_730597647_g_8965229628_gmc_pla&tgi=sem,1,G,11214002,g,search,,476044024748,,,,c,,,,,,,&ef_id=Cj0KCQjwsLWDBhCmARIsAPSL3_2bIC4skU03mHTgG2GvlhsFQstQaLrFyAaL10NTTCDsuI9BoffpPFUaAjn1EALw_wcB:G:s&s_kwcid=AL!739!3!476044024748!!!g!293946777986!&gclsrc=aw.ds"
36,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Syngenta Amistor Top Fungicide,https://krushikendra.com/image/cache/catalog/Sygenta/syngenta-amistar-top-fungicides-500x500-800x800.jpg,https://krushikendra.com/Buy-Syngenta-Amistor-Top-Fungicide-100-ml-Online
37,Tomato___Tomato_mosaic_virus,V Bind Viral Disease Special,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRmHRAqOUGXt76NPfOMXrUVRvDt8gRYd3-HTexGYI0d4PNmDuLXbfTchIRipVD-hx1wob7hHyVTbmyS85fTcADpBUMezetO&usqp=CAE,https://agribegri.com/products/viricide-online-.php
38,Tomato___healthy,"Tomato Fertilizer Organic, for Home, Balcony, Terrace & Outdoor Gardening",https://cdn.shopify.com/s/files/1/1489/8850/products/Tomato_feretilizer-new_869x868.jpg?v=1582699319,https://www.casagardenshop.com/products/tomato-fertilizer-for-home-terrace-outdoor-gardening?variant=32106353131619&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2020-02-08&utm_source=google&utm_medium=smart_campaign
39,Apple___Apple_rust_leaf,Mycozone Bio Fertilizer,https://krushidukan.bharatagri.com/cdn/shop/files/PatilBiotechMycozoneBioFertilizer-BharatAgriKrushidukan.webp?v=1691154540&width=600,https://krushidukan.bharatagri.com/en/products/patil-biotech-mycozone-bio-fertilizer?variant=43856256893171&currency=INR&utm_source=google&utm_medium=organic&utm_campaign=Primary%20Feed%20English&utm_content=%E0%A4%AA%E0%A4%BE%E0%A4%9F%E0%A4%BF%E0%A4%B2%20%E0%A4%AC%E0%A4%BE%E0%A4%AF%E0%A5%8B%E0%A4%9F%E0%A5%87%E0%A4%95%20%E0%A4%AE%E0%A4%BE%E0%A4%87%E0%A4%95%E0%A5%8B%E0%A4%9C%E0%A4%BC%E0%A5%8B%E0%A4%A8%20%E0%A4%9C%E0%A5%88%E0%A4%B5%20%E0%A4%89%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A4%B0%E0%A4%95%20%7C%20Patil%20Biotech%20Mycozone%20Bio%20Fertilizer&gad_source=4&gclid=Cj0KCQjw-pyqBhDmARIsAKd9XIOOXZSsfVUTHF33Nq2dSBSzpzQTJub9Irc9i8DLY7zwms4sAWkMEjcaAqPTEALw_wcB
40,Apple___Apple_scab_leaf,Sansar Green Apple Food Essential Organic Fertilizer,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTSE2eI_HzUIssMNdNruYhRfbLjXn04zM3S32Bt9YUHFjWXl0JfmmExhKDatWBmkzCNUG_e8thMeX7qqjPaaEy5Y8gTBgha0UKNW7weEzk&usqp=CAE,https://www.google.com/search?q=1%2C+Apple___Apple_rust_leaf%2C+fertilizer+name%2Cfertilizer++image%2Cbuy+link&sa=X&sca_esv=579594335&biw=1366&bih=619&tbm=shop&sxsrf=AM9HkKkQm_q-3pcHIiPLSFrVSqZ5k71u6w%3A1699181510645&ei=xnNHZa3TJtL2seMP2vO12A0&ved=0ahUKEwitzuay2KyCAxVSe2wGHdp5DdsQ4dUDCAg&uact=5&oq=1%2C+Apple___Apple_rust_leaf%2C+fertilizer+name%2Cfertilizer++image%2Cbuy+link&gs_lp=Egtwcm9kdWN0cy1jYyJGMSwgQXBwbGVfX19BcHBsZV9ydXN0X2xlYWYsIGZlcnRpbGl6ZXIgbmFtZSxmZXJ0aWxpemVyICBpbWFnZSxidXkgbGluazIEECMYJ0iGC1C9Bli9BnAAeACQAQCYAb4DoAGGBqoBBTMtMS4xuAEDyAEA-AEBiAYB&sclient=products-cc#spd=11932395332872414445
41,Bell_Pepper___Bell_pepper_leaf_spot," 	Erwon Betel Growth Mixture Fertilizer",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRRgcafSty0oHQ2YsdyFQEByx7XCpnfcYtpcXhW8woJu5meGN_lIbMpiUThxVTyGjaoVqjqigDxq2BR_g5B2CmMd1jWtSvfPpuQuOw1bxE&usqp=CAE,https://www.flipkart.com/erwon-betel-growth-mixture-fertilizer/p/itm17523ab1da700?pid=SMNG58UAVFNZ3745&lid=LSTSMNG58UAVFNZ3745GC6FZQ&marketplace=FLIPKART&cmpid=content_soil-manure_8965229628_gmc
42,Blueberry___Blueberry_leaf,Going Greens Blueberry Fertilizer (450 GMS),https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRWMauu9QtU4P3u9thOhSlVGN__Mksr9CNq78AtONvkxw4ZtjcZ3BSG8Ol02zK80Ol-wj4SnU956_As9noiJWAujLm_0Mt2M1ctMZ1A7Ljki0OxFdypqty9&usqp=CAE,https://www.google.com/url?url=https://www.amazon.in/Going-Greens-Blueberry-Fertilizer-450/dp/B09FZ4W4D1%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA2DC3HPBN3458M&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiiyu703qyCAxWL0GEKHeK4B9EQgOUECPwF&usg=AOvVaw2yaWDbw3LtSOejtQvDWUbm 
43,Cherry___Cherry_leaf,Urea Fertilizers for Plants 46% Nitrogen Fertilizer Soil Application,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSc6V2TIJJlFq1PY_SXpuuJqaNWyAQhHkqRE-v1phuPGOueNT2dv6wWq0hFn7n06HERfdU00RwyOc0yJh6UVoMgEhXimiEgIF06vSuTxJB3bXwI8T8eeJ6Vrw&usqp=CAE,https://www.google.com/url?q=https://www.meesho.com/Urea%2520Fertilizers%2520for%2520Plants%252046-%2520Nitrogen%2520Fertilizer%2520Soil%2520Application%2520and%2520100%2520-%2520Water%2520Soluble%2520950%2520Gram/p/4OH2GZ%3Fsrsltid%3DAfmBOorK02kGA0aWXTjk7b1Ks4Oi2_Tp1WfeSa-2XT6LFEHxeniWjFwZL3Q&opi=95576897&sa=U&ved=0ahUKEwiWk5Hf4KyCAxXbb2wGHXWJBOsQgOUECHE&usg=AOvVaw2gUuKsCa9xmzoGRb2fdjxM
44,Corn___Corn_gray_leaf_spot,sj garden fertilizers Single super phosphate fertilizer,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRbgilWwlE304ZgYUruKkbeOBZLTzlarHOXzD0Yr5C3ZdO7q76lqY0a4rg6jscfe2FbQpwVyreKc2f9N84yENz6kXpoeqanjCBl8NWFsI2iUTS5tnkgxepa&usqp=CAE,https://www.google.com/url?q=https://www.amazon.in/Fertilizers-Premium-Qualilty-phophate-soluble/dp/B0C52YTDPS%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA2FMNYQGRU85GT&opi=95576897&sa=U&ved=0ahUKEwiqiPSJ4ayCAxXEwjgGHV-IA3cQgOUECCY&usg=AOvVaw3GBy6-ZefV4Vyh0Uh-6URj
45,Corn___Corn_leaf_blight, NPK Fertilizer -18:6:6 + 15% Sulphur (100% Water Soluble) 250 gms,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcR-X2wA1Bw5Og9Xikmtx6ag88dLfX5e3_L3GkjV-H4SYhysw-I-ySsVk_uhvSAQLih2Br1ZFCIFDAq_J-sk60KAFqPlqXlT-tWI06bXhthyTr8AaLt04txPz7E&usqp=CAE,https://www.google.com/url?q=https://plantlane.com/products/panchsheel-npk-fertilizer-18-6-6-15-sulphur-100-water-soluble-250-gms%3Fvariant%3D40334024507481%26currency%3DINR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOoqfHQK8kEURoRJOaNmdis43yCQjtI6Hrp_n4CDJpVcC4PFm8dgSMZU&opi=95576897&sa=U&ved=0ahUKEwjFyp6w4ayCAxWbwjgGHVLeAAQQgOUECG0&usg=AOvVaw3kDktMlpDMfB_JxIfsSrZv
46,Corn___Corn_rust_leaf, ndobison NPK 4 18 38 All Purpose PINK,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRc45g857L5Fdgcmfg8E504m-5P743-S6t0YglhOkD395gFdiXx-zjfeTlg-aOsg-Qn2OnxF9WqI9akYlyZlEudfT9GD1ymSg2DUZ6s0UF_7T_ceguoz7Bn&usqp=CAE,https://www.google.com/url?q=https://www.amazon.in/Indobison-NPK-18-38-Fertilizer/dp/B0B3VRVXQ3%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DAZGEGP4S830VN&opi=95576897&sa=U&ved=0ahUKEwjHmtjf4ayCAxW69zgGHdbpDpEQgOUECFg&usg=AOvVaw1AvNrINYWX82OJlALYV2-x
47,Grape___Grape_leaf_black_rot,Garden King Npk For Grapes,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRbK1r6qJktj0Vt9d_1Z-GApa6zC_oskpbTYn0qOGOtHTz3R7FFh9bzKoMZHxUwamQWeGE01Dnv4ZLY03AB45ZdmKCQUShiyCMGXUPbSfbWHAKXm6m-R0lL&usqp=CAE,https://www.google.com/url?q=https://www.amazon.in/Garden-KingTM-Essential-Fertilizer-Healthy/dp/B0B6HW318R%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA1MNN90YSFIH8Q&opi=95576897&sa=U&ved=0ahUKEwiD0r2E4qyCAxXO3jgGHaB8AIkQguUECBs&usg=AOvVaw0cW5ZegZiE6T7QX4pfC1sg
48,Peach___Peach_leaf,B & B Agro Products NPK 00:52:34 (Water Soluble Fertilizer)100 % water soluble and all nutrient available,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQ1Jt3fWvxkMFa3VQpa0sHDL0_3xjMiRDCCGLc04LjyYHxqbSmPmTgNG9IeYZK4l5V__qeCv5hKJSuK2mxFM15ikA44GQJ2drl7PuapnvI&usqp=CAE,https://www.google.com/url?q=https://www.amazon.in/Agro-Products-NPK-Fertilizer-Vegetative/dp/B08CDXK278%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA2O7VQYC116O3G&opi=95576897&sa=U&ved=0ahUKEwj1m6Oh4qyCAxUAzDgGHUMpAIYQgOUECI8B&usg=AOvVaw16qYJiIYv3TJkUukvdpwH3
49,Potato___Potato_leaf_early_blight,Premium Bio NPK ltr,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTS0yt3uCtDD8CsSReQs_XDjWwe4Uwl9YShTNF4mAARRrWa_KzdsStuadmNKNaCvoMDQEZu0le2yaczJGewUUjDXZkfW7unweHr5lMNGxBAYl32AB7XVHt8&usqp=CAE,https://www.google.com/url?q=https://www.amazon.in/phosphorus-potassium-Microbial-fertilizers-deficiencies/dp/B0BQBRXNM5%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA20V65X98Y3RK&opi=95576897&sa=U&ved=0ahUKEwjdp4XM4qyCAxVc3TgGHSMBAz0QgOUECB0&usg=AOvVaw1FaMeDX17ic1-dAh4WkqZ5
